,Field_Name,Latitude,Longitude
0,60 (Pivote Valencia),25.700292,-108.660012
1,60.E (Esquinas Pivote Valencia),25.700359,-108.661938
2,70 (Pivote Campo 5),25.676046,-108.665099
3,70.E (Esquinas Campo 5),25.672436,-108.665614
4,71 (Pivote Impulsora),25.668145,-108.676987
5,71.E (Esquinas Impulsora),25.670735,-108.672996
6,72 (Pivote Jaibera),25.672918,-108.659306
7,72.E (Esquinas Jaibera),25.67297,-108.657846
8,Alamo,25.738081,-108.985291
9,C-88,25.856224,-108.916769
10,Calvario,24.668619,-107.872975
11,Campo 2,25.886737,-108.816776
12,Campo Fonseca,24.746942,-107.789598
13,Canalon y clayton 1,25.877749,-108.815689
14,Canalon y clayton 2,25.877749,-108.815689
15,Cañas,24.585454,-107.550747
16,Cancha,24.847031,-107.658787
17,Chino de Los López,25.488287,-108.424736
18,Clouthier 1,24.588085,-107.538029
19,Clouthier 2,24.584483,-107.540447
20,Doctor,24.555566,-107.535545
21,Don Roberto,24.668881,-107.810504
22,E .Pivote 32,25.860225,-108.823803
23,E. Pivote 45,25.856678,-108.832598
24,E.Pivote 23,25.889757,-108.827362
25,El Campo,25.662225,-108.676887
26,El coyote,25.889312,-108.843407
27,El Potrero,25.693275,-109.058776
28,Empaque,24.859811,-107.6526411
29,Esmeralda ,24.714625,-107.830296
30,Espinoza de los Monteros,24.633236,-107.533507
31,Esquerra,24.589056,-107.539946
32,Esquinas 5 y 100,25.656198,-108.691475
33,Esquinas Pivote Cuatro Treboles,25.670412,-108.687015
34,Ficus,25.892785,-108.876264
35,Ficus 1,25.895706,-108.874254
36,Flores Magon3,25.747983,-109.003544
37,Jose Enrique,24.6379633,-107.5327715
38,La Chalata,25.748563,-109.042754
39,La Cochera ,25.871994,-108.895054
40,La Doce,24.595733,-107.540859
41,La Piedrera,25.779284,-108.877015
42,Las 25 Mañanitas,25.71928,-109.033241
43,Las 40,24.744408,-107.841296
44,Las 47,24.618938,-107.546185
45,Las Mañanitas,25.706613,-109.027319
46,Las Residuales,25.738032,-109.052725
47,Las Torres,25.880155,-108.870523
48,Lo de Reyes,24.763989,-107.767682
49,Los Almacenes,25.699946,-109.049864
50,Los Arbolitos,25.81125,-108.850937
51,Los Pinos,25.761751,-108.923321
52,Lote 63,25.756274,-108.924465
53,Lote Batamote,25.670108,-108.623714
54,Lote Chuy,25.667124,-108.626254
55,Lote Claudia,25.571582,-108.362732
56,Lote Hidalgo,25.840753,-108.985956
57,Lote Nati Marcos 1,25.571738,-108.380384
58,Lote Nati Marcos 2,25.571738,-108.380384
59,Lote Tochy ,25.733922,-109.024575
60,NIIM,25.764258,-109.050121
61,Parral,24.735015,-107.774863
62,Penjamo,24.566042,-107.538816
63,Pia,24.557067,-107.541677
64,Pivote 23,25.886157,-108.824515
65,Pivote 32,25.856779,-108.826469
66,Pivote 32-2,25.855805,-108.826115
67,Pivote 45,25.852299,-108.83523
68,Pivote 5 y 100,25.654773,-108.682056
69,Pivote Cuatro Treboles,25.666905,-108.685341
70,Puentes,24.560727,-107.538902
71,Purisima,24.697604,-107.834115
72,Quiñones 1,25.872961,-108.85041
73,Quiñones 2,25.869862,-108.854324
74,Ramón,24.61889,-107.551371
75,Renato,24.725218,-107.784219
76,Retamoza ,24.725563,-107.818851
77,Robado,25.780057,-108.932204
78,Robado 2,25.773938,-108.916569
79,Rosario,25.887824,-108.86703
80,Sammy,24.669697,-107.807937
81,San Jose,24.621937,-107.538539
82,San Rafael,25.437516,-108.314143
83,San Rafael 3,25.452719,-108.328671
84,Santa Rosa 1,25.843376,-108.878574
85,Santa Rosa 2,25.837933,-108.873596
86,Sofia,24.579505,-107.550327
87,Urbi 1,25.781345,-109.044499
88,Urbi 2,25.784347,-109.056959
89,Urbi 3,25.785596,-109.049606
90,Valentin,24.659115,-107.801056
91,Zazueta 3,24.577607,-107.571537
92,Zona Industrial,25.806538,-108.929071
